country,Happiness_Score,Life_Satis,Pos_Emotion,Neg_Emotion,GDP_per_capita,Healthy_Life_Exp,Life_Freedom,Social_Support,Govt_Conf,Generosity,Percep_Corruption
Palestinian Territories,4.69630002975464,4.55392169952393,0.6104054450988771,0.418928533792496,0.656588613986969,0.6716954112052921,0.43973458558321,1.0332606732845324,0.39237338304519703,0.10288607329130199,0.4399789981544016
Panama,6.32130002975464,6.28143405914307,0.8835805058479309,0.22259874641895303,1.14939904212952,0.910402655601501,0.6885566115379335,1.1729758083820325,0.27747771143913297,-0.0069956965744494976,0.4456080682575701
Peru,5.6971001625061,5.6796612739563,0.8086214661598209,0.38003286719322205,0.959802091121674,0.8544495105743409,0.6420864760875701,1.0594965219497672,0.202403098344803,-0.05232960358262044,0.46681527793407424
Philippines,5.6314001083374,5.8691725730896,0.772846102714539,0.393481075763702,0.807362616062164,0.656877875328064,0.73799592256546,1.0691860914230364,0.802007138729095,0.0020765177905560026,0.416745763272047
Portugal,5.692500114440921,5.91982269287109,0.6791041493415829,0.31799474358558694,1.22072994709015,0.999308705329895,0.6927594840526581,1.1589583456516241,0.520630657672882,-0.10796067491173761,0.45234629139304167
Romania,6.06969976425171,6.15087890625,0.735342502593994,0.2984539270401,1.16184890270233,0.824790239334106,0.6536593884229659,1.0247167944908129,0.2263513058424,-0.0686989463865755,0.46297457255423063
Russia,5.6479001045227095,5.5135002136230495,0.6733462810516361,0.198796302080154,1.18310880661011,0.726103067398071,0.5317817777395245,1.1805482506751994,0.455838739871979,-0.03708912432193764,0.4480856424197554
Rwanda,3.3338000774383505,3.5610466003418,0.793367624282837,0.30819916725158697,0.35948818922042797,0.613995850086212,0.739400714635849,0.6636102497577665,0.988120436668396,0.13688104785978794,0.2873178571462635
Senegal,4.681099891662599,4.7693772315979,0.713894128799438,0.24707472324371302,0.449954122304916,0.5710835456848139,0.4604472219944,0.936796993017195,0.588927924633026,0.045723605901002703,0.43828188627958276
Serbia,5.60300016403198,5.9364933967590305,0.558940827846527,0.29629585146904,1.00381052494049,0.8543645739555359,0.5111326575279235,1.1179527044296247,0.476144999265671,0.019128274172544653,0.4511616006493567
Sierra Leone,4.37419986724854,4.30568313598633,0.551628053188324,0.466266661882401,0.268262028694153,0.242186084389687,0.51280802488327,0.745403528213501,0.779726207256317,0.17691212520003302,0.4503760207444427
Singapore,6.26200008392334,6.3745641708374,0.7870929837226871,0.106870777904987,1.5715754032135,1.14089918136597,0.73606938123703,1.1830292642116562,0.89246928691864,0.27058818936348,0.27462488785386086
